cond,seed,config,method,job,site,fed_auroc,fed_auprc,own_gain,local_auroc,local_auprc,prevalence,best_epoch_mean,delta_auroc,delta_auprc
1.0_1.0,123,A_G_S_20group_weighted_v2.3_K2_lepoch3,fedadaptproto,a1.0_g1.0_seed123_20group_weighted_v2.3_K2_lepoch3/fedadaptproto,sim_KUMC,0.7569227691076431,0.4029745597560476,0.0744757903161265,0.753893,0.414662,0.1516,1.6,0.0030297691076430766,-0.011687440243952352
1.0_1.0,123,A_G_S_20group_weighted_v2.3_K2_lepoch3,fedadaptproto,a1.0_g1.0_seed123_20group_weighted_v2.3_K2_lepoch3/fedadaptproto,sim_MCW,0.7510979566563467,0.3753949648667196,0.0831019195046438,0.756917,0.407441,0.1541,1.2,-0.005819043343653241,-0.032046035133280415
1.0_1.0,123,A_G_S_20group_weighted_v2.3_K2_lepoch3,fedadaptproto,a1.0_g1.0_seed123_20group_weighted_v2.3_K2_lepoch3/fedadaptproto,sim_UIOWA,0.7485595211032811,0.3839019173044992,0.0767270339218509,0.740103,0.410961,0.1542,1.4,0.0084565211032811,-0.027059082695500836
1.0_1.0,123,A_G_S_20group_weighted_v2.3_K2_lepoch3,fedadaptproto,a1.0_g1.0_seed123_20group_weighted_v2.3_K2_lepoch3/fedadaptproto,sim_UPITT,0.7616570052234366,0.4132321762708924,0.0702857153530559,0.769786,0.416424,0.1566,1.8,-0.00812899477656337,-0.00319182372910759
1.0_1.0,123,A_G_S_20group_weighted_v2.3_K2_lepoch3,fedadaptproto,a1.0_g1.0_seed123_20group_weighted_v2.3_K2_lepoch3/fedadaptproto,sim_UTSW,0.7450659667058092,0.4053106091632468,0.0715161981073425,0.761601,0.44465,0.1614,1.4,-0.016535033294190815,-0.039339390836753196
1.0_1.0,123,A_G_S_20group_weighted_v2.3_K2_lepoch3,fedadaptproto,a1.0_g1.0_seed123_20group_weighted_v2.3_K2_lepoch3/fedadaptproto,sim_UofU,0.6983471645919779,0.3160918861415885,0.0242999255239919,0.752548,0.399667,0.1371,1.2,-0.05420083540802212,-0.08357511385841149
0.0_0.0,456,A_G_S_20group_weighted_lepoch3,fedavg,a0.0_g0.0_seed456_20group_weighted_lepoch3/fedavg,sim_KUMC,0.737627504553734,0.3656364704950247,0.0458065801457195,0.744997,0.355346,0.1291,1.0,-0.007369495446265972,0.010290470495024684
0.0_0.0,456,A_G_S_20group_weighted_lepoch3,fedavg,a0.0_g0.0_seed456_20group_weighted_lepoch3/fedavg,sim_MCW,0.724082422586521,0.3295597777172326,0.0520275500910746,0.75702,0.367466,0.1341,1.0,-0.032937577413479024,-0.03790622228276741
0.0_0.0,456,A_G_S_20group_weighted_lepoch3,fedavg,a0.0_g0.0_seed456_20group_weighted_lepoch3/fedavg,sim_UIOWA,0.7415456203435431,0.3746715885177876,0.0579863626172738,0.74573,0.364261,0.1342,1.0,-0.004184379656456905,0.010410588517787589
0.0_0.0,456,A_G_S_20group_weighted_lepoch3,fedavg,a0.0_g0.0_seed456_20group_weighted_lepoch3/fedavg,sim_UPITT,0.7278405176441115,0.397513740469456,0.0615842070083608,0.768097,0.420265,0.139,1.4,-0.04025648235588852,-0.02275125953054402
0.0_0.0,456,A_G_S_20group_weighted_lepoch3,fedavg,a0.0_g0.0_seed456_20group_weighted_lepoch3/fedavg,sim_UTSW,0.7332259947945001,0.3744172273694821,0.0345826113663545,0.751484,0.416884,0.1485,1.4,-0.018258005205499916,-0.0424667726305179
0.0_0.0,456,A_G_S_20group_weighted_lepoch3,fedavg,a0.0_g0.0_seed456_20group_weighted_lepoch3/fedavg,sim_UofU,0.7320593488116498,0.3069271897041699,0.0881164995191645,0.750155,0.297952,0.0999,1.0,-0.018095651188350215,0.008975189704169884
0.0_0.0,456,A_G_S_20group_weighted_lepoch3,fedprox,a0.0_g0.0_seed456_20group_weighted_lepoch3/fedprox,sim_KUMC,0.7363581511839709,0.3634368901597508,0.0445372267759563,0.744997,0.355346,0.1291,1.0,-0.008638848816029165,0.008090890159750785
0.0_0.0,456,A_G_S_20group_weighted_lepoch3,fedprox,a0.0_g0.0_seed456_20group_weighted_lepoch3/fedprox,sim_MCW,0.7160906193078324,0.3095059372950991,0.0440357468123859,0.75702,0.367466,0.1341,1.0,-0.04092938069216767,-0.057960062704900894
0.0_0.0,456,A_G_S_20group_weighted_lepoch3,fedprox,a0.0_g0.0_seed456_20group_weighted_lepoch3/fedprox,sim_UIOWA,0.7389511546288631,0.3652752542431771,0.0553918969025938,0.74573,0.364261,0.1342,1.0,-0.006778845371136932,0.0010142542431770818
0.0_0.0,456,A_G_S_20group_weighted_lepoch3,fedprox,a0.0_g0.0_seed456_20group_weighted_lepoch3/fedprox,sim_UPITT,0.7256812714397336,0.3996016420813358,0.0594249608039829,0.768097,0.420265,0.139,1.4,-0.04241572856026643,-0.020663357918664194
0.0_0.0,456,A_G_S_20group_weighted_lepoch3,fedprox,a0.0_g0.0_seed456_20group_weighted_lepoch3/fedprox,sim_UTSW,0.7302909566232805,0.3686073312744584,0.0316475731951348,0.751484,0.416884,0.1485,1.4,-0.021193043376719567,-0.048276668725541594
0.0_0.0,456,A_G_S_20group_weighted_lepoch3,fedprox,a0.0_g0.0_seed456_20group_weighted_lepoch3/fedprox,sim_UofU,0.7308771809314466,0.3071749623142704,0.0869343316389613,0.750155,0.297952,0.0999,1.0,-0.019277819068553415,0.009222962314270389
0.0_0.0,456,A_G_S_20group_weighted_lepoch3,scaffold,a0.0_g0.0_seed456_20group_weighted_lepoch3/scaffold,sim_KUMC,0.7508373178506375,0.4043815686772541,0.0590163934426229,0.744997,0.355346,0.1291,1.0,0.005840317850637433,0.049035568677254115
0.0_0.0,456,A_G_S_20group_weighted_lepoch3,scaffold,a0.0_g0.0_seed456_20group_weighted_lepoch3/scaffold,sim_MCW,0.7304479735883425,0.3235318147630141,0.058393101092896,0.75702,0.367466,0.1341,1.0,-0.026572026411657568,-0.04393418523698589
0.0_0.0,456,A_G_S_20group_weighted_lepoch3,scaffold,a0.0_g0.0_seed456_20group_weighted_lepoch3/scaffold,sim_UIOWA,0.7415456203435431,0.3746715885177876,0.0579863626172738,0.74573,0.364261,0.1342,1.0,-0.004184379656456905,0.010410588517787589
0.0_0.0,456,A_G_S_20group_weighted_lepoch3,scaffold,a0.0_g0.0_seed456_20group_weighted_lepoch3/scaffold,sim_UPITT,0.7278405176441115,0.397513740469456,0.0615842070083608,0.768097,0.420265,0.139,1.4,-0.04025648235588852,-0.02275125953054402
0.0_0.0,456,A_G_S_20group_weighted_lepoch3,scaffold,a0.0_g0.0_seed456_20group_weighted_lepoch3/scaffold,sim_UTSW,0.7332259947945001,0.3744172273694821,0.0345826113663545,0.751484,0.416884,0.1485,1.4,-0.018258005205499916,-0.0424667726305179
0.0_0.0,456,A_G_S_20group_weighted_lepoch3,scaffold,a0.0_g0.0_seed456_20group_weighted_lepoch3/scaffold,sim_UofU,0.7300975408709987,0.3231302803528907,0.0861546915785134,0.750155,0.297952,0.0999,1.0,-0.020057459129001365,0.025178280352890714
0.0_0.0,456,A_G_S_20group_weighted_lepoch3,fedadapt,a0.0_g0.0_seed456_20group_weighted_lepoch3/fedadapt,sim_KUMC,0.7275603369763206,0.3539115069812452,0.0357394125683061,0.744997,0.355346,0.1291,1.0,-0.01743666302367941,-0.0014344930187548122
0.0_0.0,456,A_G_S_20group_weighted_lepoch3,fedadapt,a0.0_g0.0_seed456_20group_weighted_lepoch3/fedadapt,sim_MCW,0.7192076502732241,0.3049250706003308,0.0471527777777777,0.75702,0.367466,0.1341,1.0,-0.03781234972677594,-0.06254092939966921
0.0_0.0,456,A_G_S_20group_weighted_lepoch3,fedadapt,a0.0_g0.0_seed456_20group_weighted_lepoch3/fedadapt,sim_UIOWA,0.736429984995861,0.3531709676660429,0.0528707272695917,0.74573,0.364261,0.1342,1.0,-0.009300015004139017,-0.011090032333957112
0.0_0.0,456,A_G_S_20group_weighted_lepoch3,fedadapt,a0.0_g0.0_seed456_20group_weighted_lepoch3/fedadapt,sim_UPITT,0.7485510051327018,0.3929695536408168,0.0822946944969511,0.768097,0.420265,0.139,1.4,-0.019545994867298244,-0.027295446359183184
0.0_0.0,456,A_G_S_20group_weighted_lepoch3,fedadapt,a0.0_g0.0_seed456_20group_weighted_lepoch3/fedadapt,sim_UTSW,0.7544484172282548,0.3630572415094752,0.0558050338001092,0.751484,0.416884,0.1485,1.4,0.002964417228254801,-0.05382675849052476
0.0_0.0,456,A_G_S_20group_weighted_lepoch3,fedadapt,a0.0_g0.0_seed456_20group_weighted_lepoch3/fedadapt,sim_UofU,0.7302685808490178,0.3218067756694561,0.0863257315565325,0.750155,0.297952,0.0999,1.0,-0.019886419150982215,0.023854775669456096
0.0_0.0,123,A_G_S_20group_weighted_v2.5_bestckpt_fix,fedadaptproto,a0.0_g0.0_seed123_20group_weighted_v2.5_bestckpt_fix/fedadaptproto,sim_KUMC,0.711207,0.276447,0.02534,0.744997,0.355346,0.1291,1.0,-0.03378999999999999,-0.078899
0.0_0.0,123,A_G_S_20group_weighted_v2.5_bestckpt_fix,fedadaptproto,a0.0_g0.0_seed123_20group_weighted_v2.5_bestckpt_fix/fedadaptproto,sim_MCW,0.713129,0.333609,0.023845,0.75702,0.367466,0.1341,1.0,-0.04389100000000001,-0.033857000000000026
0.0_0.0,123,A_G_S_20group_weighted_v2.5_bestckpt_fix,fedadaptproto,a0.0_g0.0_seed123_20group_weighted_v2.5_bestckpt_fix/fedadaptproto,sim_UIOWA,0.683766,0.288991,-0.005754,0.74573,0.364261,0.1342,1.0,-0.06196400000000002,-0.07527
0.0_0.0,123,A_G_S_20group_weighted_v2.5_bestckpt_fix,fedadaptproto,a0.0_g0.0_seed123_20group_weighted_v2.5_bestckpt_fix/fedadaptproto,sim_UPITT,0.746225,0.359569,0.039141,0.768097,0.420265,0.139,1.4,-0.021872000000000003,-0.06069599999999997
0.0_0.0,123,A_G_S_20group_weighted_v2.5_bestckpt_fix,fedadaptproto,a0.0_g0.0_seed123_20group_weighted_v2.5_bestckpt_fix/fedadaptproto,sim_UTSW,0.727485,0.343931,0.019031,0.751484,0.416884,0.1485,1.4,-0.023998999999999993,-0.07295299999999999
0.0_0.0,123,A_G_S_20group_weighted_v2.5_bestckpt_fix,fedadaptproto,a0.0_g0.0_seed123_20group_weighted_v2.5_bestckpt_fix/fedadaptproto,sim_UofU,0.704426,0.25746,0.040186,0.750155,0.297952,0.0999,1.0,-0.04572900000000002,-0.04049199999999997
0.0_0.0,42,A_G_S_20group_weighted_v2.3_K2_lepoch3,fedadaptproto,a0.0_g0.0_seed42_20group_weighted_v2.3_K2_lepoch3/fedadaptproto,sim_KUMC,0.7337000496515199,0.3566673417604134,0.0573601482189817,0.744997,0.355346,0.1291,1.0,-0.011296950348480106,0.0013213417604134303
0.0_0.0,42,A_G_S_20group_weighted_v2.3_K2_lepoch3,fedadaptproto,a0.0_g0.0_seed42_20group_weighted_v2.3_K2_lepoch3/fedadaptproto,sim_MCW,0.713442061025802,0.3416878404525539,0.0593604852972775,0.75702,0.367466,0.1341,1.0,-0.04357793897419804,-0.02577815954744611
0.0_0.0,42,A_G_S_20group_weighted_v2.3_K2_lepoch3,fedadaptproto,a0.0_g0.0_seed42_20group_weighted_v2.3_K2_lepoch3/fedadaptproto,sim_UIOWA,0.7412228178694159,0.3341521550290615,0.0630889347079038,0.74573,0.364261,0.1342,1.0,-0.0045071821305840976,-0.03010884497093852
0.0_0.0,42,A_G_S_20group_weighted_v2.3_K2_lepoch3,fedadaptproto,a0.0_g0.0_seed42_20group_weighted_v2.3_K2_lepoch3/fedadaptproto,sim_UPITT,0.7495235049430996,0.3981309499288932,0.0614565938759652,0.768097,0.420265,0.139,1.4,-0.018573495056900424,-0.022134050071106803
0.0_0.0,42,A_G_S_20group_weighted_v2.3_K2_lepoch3,fedadaptproto,a0.0_g0.0_seed42_20group_weighted_v2.3_K2_lepoch3/fedadaptproto,sim_UTSW,0.7656924175936319,0.4362251092046066,0.0643922849270333,0.751484,0.416884,0.1485,1.4,0.014208417593631895,0.019341109204606632
0.0_0.0,42,A_G_S_20group_weighted_v2.3_K2_lepoch3,fedadaptproto,a0.0_g0.0_seed42_20group_weighted_v2.3_K2_lepoch3/fedadaptproto,sim_UofU,0.7419250366092425,0.2654947395206875,0.0931365565133608,0.750155,0.297952,0.0999,1.0,-0.008229963390757544,-0.03245726047931252
0.5_0.75,456,A_G_S_20group_weighted_v2.5_bestckpt_fix,fedadaptproto,a0.5_g0.75_seed456_20group_weighted_v2.5_bestckpt_fix/fedadaptproto,sim_KUMC,0.705784,0.34357,0.013813,0.737173,0.381467,0.1441,1.6,-0.031389,-0.037897000000000014
0.5_0.75,456,A_G_S_20group_weighted_v2.5_bestckpt_fix,fedadaptproto,a0.5_g0.75_seed456_20group_weighted_v2.5_bestckpt_fix/fedadaptproto,sim_MCW,0.723725,0.362688,0.009149,0.765699,0.41099,0.1475,1.0,-0.04197400000000007,-0.04830200000000001
0.5_0.75,456,A_G_S_20group_weighted_v2.5_bestckpt_fix,fedadaptproto,a0.5_g0.75_seed456_20group_weighted_v2.5_bestckpt_fix/fedadaptproto,sim_UIOWA,0.694636,0.319534,-0.019122,0.739041,0.40123,0.1475,6.0,-0.04440499999999992,-0.08169599999999999
